Address,Nametag,website,Public Note,chain id
0xe0788b8169a570248c50f95ef99d4ca0839c65de,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x10571bbbf357ecc093fe4468709c020680e9adb4,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xcdf9628d6277c67e6a238253af9cba461816738b,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x98520260bb27c2e0df6adfcdac102fc2e0554cb0,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xff323370d39528bcb293f846c2e84651751a2e29,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x6f5ff60b7ef6cb68ed754e323282e5a641c21cbe,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xcc4167520134bc66990cd18414ca57d577a79f1d,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x71b0aa689563ebe71ef530cc95a208aa11c22d4e,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x8d77c0347e1ef16fa083c9808d9fc44ed3e6caf1,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x167ff9b858b9834f95e6e9e3e664f3a3472c8331,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x2e2f8a1f4877db85bf19561d15b6204bfe0410bf,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x2b8fafe73bee634c2e1ae24a6087c37b0a48fc07,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x65d6263dfb92527dbc62159fbf9180a009f6d764,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xd4e7f102439da99cebee6352bec725a7921c34d9,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x3089cccb7f4e69b72e0c30ec6afb893e9571b005,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xd6551345dab9496505ecbeb3ecce70c1761601fb,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x36ad35642741d8f8a1b203fc2f5f72fd52f5b929,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
